date,totalPassengers
2018-08-10,8973.0
2018-08-11,8229.0
2018-08-12,7587.0
2018-08-13,8655.0
2018-08-14,6899.0
2018-08-15,7878.0
2018-08-16,8033.0
2018-08-17,9684.0
2018-08-18,7238.0
2018-08-19,8215.0
2018-08-20,7856.0
2018-08-21,7742.0
2018-08-22,7389.0
2018-08-23,8731.0
2018-08-24,8929.0
2018-08-25,9115.0
2018-08-26,7397.0
2018-08-27,8191.0
2018-08-28,6478.0
2018-08-29,7548.0
2018-08-30,7075.0
2018-08-31,8462.0
2018-09-01,6462.0
2018-09-02,5690.0
2018-09-03,4885.0
2018-09-04,3636.0
2018-09-05,4581.0
2018-09-06,5154.0
2018-09-07,6269.0
2018-09-08,7332.0
2018-09-09,5699.0
2018-09-10,5669.0
2018-09-11,4315.0
2018-09-12,5024.0
2018-09-13,5609.0
2018-09-14,6588.0
2018-09-15,7646.0
2018-09-16,5934.0
2018-09-17,6130.0
2018-09-18,4631.0
2018-09-19,5074.0
2018-09-20,5513.0
2018-09-21,6596.0
2018-09-22,7598.0
2018-09-23,6032.0
2018-09-24,6188.0
2018-09-25,3772.0
2018-09-26,4474.0
2018-09-27,4806.0
2018-09-28,6583.0
2018-09-29,14632.0
2018-09-30,5472.0
2018-10-01,6423.0
2018-10-02,4116.0
2018-10-03,4840.0
2018-10-04,5157.0
2018-10-05,6484.0
2018-10-06,7190.0
2018-10-07,6451.0
2018-10-08,6975.0
2018-10-09,4089.0
2018-10-10,5210.0
2018-10-11,5540.0
2018-10-12,6104.0
2018-10-13,7347.0
2018-10-14,6009.0
2018-10-15,5921.0
2018-10-16,3641.0
2018-10-17,4850.0
2018-10-18,5674.0
2018-10-19,5916.0
2018-10-20,7152.0
2018-10-21,6291.0
2018-10-22,5841.0
2018-10-23,3832.0
2018-10-24,4112.0
2018-10-25,4533.0
2018-10-26,5782.0
2018-10-27,8219.0
2018-10-28,5938.0
2018-10-29,5438.0
2018-10-30,3447.0
2018-10-31,5409.0
2018-11-01,6125.0
2018-11-02,20994.0
2018-11-03,9837.0
2018-11-04,5886.0
2018-11-05,9749.0
2018-11-06,4992.0
2018-11-07,3606.0
2018-11-08,4128.0
2018-11-09,6120.0
2018-11-10,5511.0
2018-11-11,4525.0
2018-11-12,4640.0
2018-11-13,2990.0
2018-11-14,4115.0
2018-11-15,4464.0
2018-11-16,5799.0
2018-11-17,6380.0
2018-11-18,5087.0
2018-11-19,4905.0
2018-11-20,3274.0
2018-11-21,4164.0
2018-11-22,4715.0
2018-11-23,6077.0
2018-11-24,5715.0
2018-11-25,5148.0
2018-11-26,4448.0
2018-11-27,2745.0
2018-11-28,3397.0
2018-11-29,4400.0
2018-11-30,5616.0
2018-12-01,5971.0
2018-12-02,4880.0
2018-12-03,3920.0
2018-12-04,3033.0
2018-12-05,3862.0
2018-12-06,4361.0
2018-12-07,5692.0
2018-12-08,5218.0
2018-12-09,4884.0
2018-12-10,3980.0
2018-12-11,2741.0
2018-12-12,3293.0
2018-12-13,4053.0
2018-12-14,5190.0
2018-12-15,5172.0
2018-12-16,4717.0
2018-12-17,3655.0
2018-12-18,2619.0
2018-12-19,3024.0
2018-12-20,3690.0
2018-12-21,4901.0
2018-12-22,4298.0
2018-12-23,3592.0
2018-12-24,3320.0
2018-12-25,2801.0
2018-12-26,3277.0
2018-12-27,4551.0
2018-12-28,6152.0
2018-12-29,10314.0
2018-12-30,9300.0
2018-12-31,5027.0
2019-01-01,5530.0
2019-01-02,9396.0
2019-01-03,11842.0
2019-01-04,10396.0
2019-01-05,8766.0
2019-01-06,8703.0
2019-01-07,7567.0
2019-01-08,7946.0
2019-01-09,4431.0
2019-01-10,3276.0
2019-01-11,3710.0
2019-01-12,3840.0
2019-01-13,3802.0
2019-01-14,3076.0
2019-01-15,2422.0
2019-01-16,2406.0
2019-01-17,2753.0
2019-01-18,3948.0
2019-01-19,3533.0
2019-01-20,3672.0
2019-01-21,3123.0
2019-01-22,2485.0
2019-01-23,2816.0
2019-01-24,3598.0
2019-01-25,4703.0
2019-01-26,4903.0
2019-01-27,3839.0
2019-01-28,3780.0
2019-01-29,2856.0
2019-01-30,3407.0
2019-01-31,4293.0
2019-02-01,4844.0
2019-02-02,5463.0
2019-02-03,4104.0
2019-02-04,4386.0
2019-02-05,3096.0
2019-02-06,3369.0
2019-02-07,3985.0
2019-02-08,4578.0
2019-02-09,4636.0
2019-02-10,4302.0
2019-02-11,3750.0
2019-02-12,2928.0
2019-02-13,4050.0
2019-02-14,4743.0
2019-02-15,5361.0
2019-02-16,5721.0
2019-02-17,4747.0
2019-02-18,4300.0
2019-02-19,3173.0
2019-02-20,3938.0
